Time,Object,Event
118.69999999999999,ship.0,loaded 86 containers as cargo in Cologne
119.94999999999999,ship.0,Ship has loaded 25 batteries from Cologne
119.94999999999999,Cologne,Cologne has 75 batteries left.
122.00775002993205,ship.5,loaded 82 containers as cargo in Antwerp
124.25775002993205,ship.5,Ship has loaded 45 batteries from Antwerp
124.25775002993205,Antwerp,Antwerp has 55 batteries left.
126.1945322142956,ship.3,loaded 53 containers as cargo in Amsterdam
126.43550252991608,ship.2,loaded 52 containers as cargo in Moerdijk
127.4445322142956,ship.3,Ship has loaded 25 batteries from Amsterdam
127.4445322142956,Amsterdam,Amsterdam has 100 batteries left.
127.66733352849882,ship.9,loaded 85 containers as cargo in Rotterdam
127.68550252991608,ship.2,Ship has loaded 25 batteries from Moerdijk
127.68550252991608,Moerdijk,Moerdijk has 55 batteries left.
127.8851872535718,ship.4,loaded 57 containers as cargo in Duisburg
130.13518725357181,ship.4,Ship has loaded 45 batteries from Duisburg
130.13518725357181,Duisburg,Duisburg has 55 batteries left.
130.49712845755846,ship.13,loaded 83 containers as cargo in Delfzijl
131.74712845755846,ship.13,Ship has loaded 25 batteries from Delfzijl
131.74712845755846,Delfzijl,Delfzijl has 75 batteries left.
139.1794601766009,ship.7,loaded 59 containers as cargo in Duisburg
139.49663891882096,Rotterdam,"Warning deactivated in Rotterdam, 60 batteries available"
139.6010309346513,ship.12,Ship has loaded 25 batteries from Rotterdam
139.6010309346513,Rotterdam,Rotterdam has 35 batteries left.
139.91733352849883,ship.9,Ship has loaded 25 batteries from Rotterdam
139.91733352849883,Rotterdam,Rotterdam has 10 batteries left.
139.91733352849883,Rotterdam,"Warning activated in Rotterdam, only 10 batteries left"
140.2507977623397,ship.11,loaded 54 containers as cargo in Antwerp
140.4294601766009,ship.7,Ship has loaded 25 batteries from Duisburg
140.4294601766009,Duisburg,Duisburg has 55 batteries left.
140.5688358632494,ship.2,loaded 66 containers as cargo in Antwerp
141.4910833632654,ship.5,loaded 71 containers as cargo in Rotterdam
141.5007977623397,ship.11,Ship has loaded 25 batteries from Antwerp
141.5007977623397,Antwerp,Antwerp has 80 batteries left.
141.8188358632494,ship.2,Ship has loaded 25 batteries from Antwerp
141.8188358632494,Antwerp,Antwerp has 55 batteries left.
144.72466914585416,ship.14,loaded 72 containers as cargo in Duisburg
145.97466914585416,ship.14,Ship has loaded 25 batteries from Duisburg
145.97466914585416,Duisburg,Duisburg has 30 batteries left.
147.5945322142956,ship.3,loaded 73 containers as cargo in Vlissingen
148.75,ship.0,loaded 81 containers as cargo in Amsterdam
148.8445322142956,ship.3,Ship has loaded 25 batteries from Vlissingen
148.8445322142956,Vlissingen,Vlissingen has 75 batteries left.
151.0,ship.0,Ship has loaded 45 batteries from Amsterdam
151.0,Amsterdam,Amsterdam has 80 batteries left.
152.67963169801624,Rotterdam,"Warning deactivated in Rotterdam, 55 batteries available"
152.7410833632654,ship.5,Ship has loaded 25 batteries from Rotterdam
152.7410833632654,Rotterdam,Rotterdam has 30 batteries left.
154.4371176640352,ship.1,loaded 87 containers as cargo in Brussels
154.80185392023847,ship.4,loaded 78 containers as cargo in Rotterdam
155.6871176640352,ship.1,Ship has loaded 25 batteries from Brussels
155.6871176640352,Brussels,Brussels has 100 batteries left.
156.05185392023847,ship.4,Ship has loaded 25 batteries from Rotterdam
156.05185392023847,Rotterdam,Rotterdam has 5 batteries left.
156.05185392023847,Rotterdam,"Warning activated in Rotterdam, only 5 batteries left"
156.53436426798464,ship.12,loaded 97 containers as cargo in Antwerp
157.78436426798464,ship.12,Ship has loaded 25 batteries from Antwerp
157.78436426798464,Antwerp,Antwerp has 55 batteries left.
159.48735794294453,ship.15,loaded 87 containers as cargo in Antwerp
160.73735794294453,ship.15,Ship has loaded 25 batteries from Antwerp
160.73735794294453,Antwerp,Antwerp has 55 batteries left.
162.46119888096229,ship.3,loaded 81 containers as cargo in Antwerp
163.05228087796954,ship.6,loaded 99 containers as cargo in Amsterdam
163.63333333333333,Rotterdam,"Warning deactivated in Rotterdam, 50 batteries available"
163.9840001951655,ship.9,loaded 74 containers as cargo in Liege
164.71119888096229,ship.3,Ship has loaded 45 batteries from Antwerp
164.71119888096229,Antwerp,Antwerp has 10 batteries left.
164.71119888096229,Antwerp,"Warning activated in Antwerp, only 10 batteries left"
165.2340001951655,ship.9,Ship has loaded 25 batteries from Liege
165.2340001951655,Liege,Liege has 80 batteries left.
165.30228087796954,ship.6,Ship has loaded 45 batteries from Amsterdam
165.30228087796954,Amsterdam,Amsterdam has 60 batteries left.
166.78205848389052,ship.16,loaded 54 containers as cargo in Duisburg
166.8,ship.0,loaded 90 containers as cargo in Rotterdam
169.05,ship.0,Ship has loaded 45 batteries from Rotterdam
169.05,Rotterdam,Rotterdam has 5 batteries left.
169.05,Rotterdam,"Warning activated in Rotterdam, only 5 batteries left"
172.8510309346513,ship.12,loaded 86 containers as cargo in Vlissingen
173.05185392023847,ship.4,loaded 77 containers as cargo in Terneuzen
175.1010309346513,ship.12,Ship has loaded 45 batteries from Vlissingen
175.1010309346513,Vlissingen,Vlissingen has 55 batteries left.
175.30185392023847,ship.4,Ship has loaded 45 batteries from Terneuzen
175.30185392023847,Terneuzen,Terneuzen has 80 batteries left.
179.9000877698512,Rotterdam,"Warning deactivated in Rotterdam, 95 batteries available"
180.0670436985113,ship.17,loaded 73 containers as cargo in Rotterdam
181.00228087796953,ship.6,loaded 70 containers as cargo in Rotterdam
181.59453221429564,ship.3,loaded 65 containers as cargo in Rotterdam
182.25228087796953,ship.6,Ship has loaded 25 batteries from Rotterdam
182.25228087796953,Rotterdam,Rotterdam has 70 batteries left.
182.3170436985113,ship.17,Ship has loaded 45 batteries from Rotterdam
182.3170436985113,Rotterdam,Rotterdam has 25 batteries left.
182.3170436985113,Rotterdam,"Warning activated in Rotterdam, only 25 batteries left"
182.84453221429564,ship.3,Ship has loaded 25 batteries from Rotterdam
182.84453221429564,Rotterdam,Rotterdam has 0 batteries left.
184.68888888888893,Antwerp,"Warning deactivated in Antwerp, 55 batteries available"
187.53333333333336,ship.0,loaded 88 containers as cargo in Antwerp
187.71238917234612,ship.10,loaded 52 containers as cargo in Delfzijl
188.96238917234612,ship.10,Ship has loaded 25 batteries from Delfzijl
188.96238917234612,Delfzijl,Delfzijl has 75 batteries left.
189.78333333333336,ship.0,Ship has loaded 45 batteries from Antwerp
189.78333333333336,Antwerp,Antwerp has 35 batteries left.
189.83516397481972,ship.13,loaded 58 containers as cargo in Antwerp
191.03205848389052,ship.16,Ship has loaded 45 batteries from Duisburg
191.03205848389052,Duisburg,Duisburg has 10 batteries left.
