Time,Object,Event
125.14806957573764,ship.9,loaded 85 containers as cargo in Antwerp
125.64848909884266,ship.6,Ship has loaded 25 batteries from Cologne
125.64848909884266,Cologne,Cologne has 100 batteries left.
127.39806957573764,ship.9,Ship has loaded 45 batteries from Antwerp
127.39806957573764,Antwerp,Antwerp has 10 batteries left.
127.39806957573764,Antwerp,"Warning activated in Antwerp, only 10 batteries left"
127.68010190682219,Rotterdam,"Warning deactivated in Rotterdam, 40 batteries available"
130.63565746237774,ship.1,loaded 80 containers as cargo in Rotterdam
131.88565746237774,ship.1,Ship has loaded 25 batteries from Rotterdam
131.88565746237774,Rotterdam,Rotterdam has 15 batteries left.
131.88565746237774,Rotterdam,"Warning activated in Rotterdam, only 15 batteries left"
132.46254582629814,ship.12,loaded 71 containers as cargo in Vlissingen
132.8445806626926,ship.8,loaded 82 containers as cargo in Mannheim
134.0945806626926,ship.8,Ship has loaded 25 batteries from Mannheim
134.0945806626926,Mannheim,Mannheim has 100 batteries left.
134.71254582629814,ship.12,Ship has loaded 45 batteries from Vlissingen
134.71254582629814,Vlissingen,Vlissingen has 55 batteries left.
135.62226735178464,Rotterdam,"Warning deactivated in Rotterdam, 40 batteries available"
136.44448957400687,ship.3,loaded 52 containers as cargo in Rotterdam
137.69448957400687,ship.3,Ship has loaded 25 batteries from Rotterdam
137.69448957400687,Rotterdam,Rotterdam has 15 batteries left.
137.69448957400687,Rotterdam,"Warning activated in Rotterdam, only 15 batteries left"
138.1136960025379,ship.13,loaded 80 containers as cargo in Rotterdam
138.95675115020782,Antwerp,"Warning deactivated in Antwerp, 35 batteries available"
139.34689788397864,ship.10,loaded 89 containers as cargo in Amsterdam
139.9734178168745,ship.2,loaded 55 containers as cargo in Antwerp
140.59689788397864,ship.10,Ship has loaded 25 batteries from Amsterdam
140.59689788397864,Amsterdam,Amsterdam has 30 batteries left.
143.3636960025379,ship.13,Ship has loaded 25 batteries from Rotterdam
143.3636960025379,Rotterdam,Rotterdam has 37 batteries left.
143.3636960025379,Rotterdam,"Warning deactivated in Rotterdam, 37 batteries available"
144.53978279278397,ship.4,loaded 81 containers as cargo in Mannheim
